,fi
angle,0.06062769552633296
distance,0.05679247411842958
interveningOpponents,0.04115721789081839
bodyPart_سر,0.00965384537785563
interveningTeammates,0.008995050256882298
playType_جریان بازی,0.008899266006493045
playType_پنالتی,0.00826420210463974
bodyPart_پا,0.007260120627341049
playType_ضربه آزاد مستقیم,0.005397032828610149
minute,0.003948513881053772
interferenceOnShooter_کم,0.0038268690511216175
bodyPart_سایر,0.002087389770789372
playType_مستقیم از کرنر,0.001994748578772354
interferenceOnShooter_زیاد,0.0014973180976316502
second,0.0
interferenceOnShooter_متوسط,0.0
